Record No,Programme code,Study Year,Academic Year,Course,Course Type
R2846,10041,2,2023-2024,1249,elective
R2847,10041,2,2023-2024,1214,elective
R2848,10041,2,2023-2024,1143,elective
R2849,10041,2,2023-2024,1011,elective
R2850,10042,1,2013-2014,1254,compulsory
R2851,10042,1,2013-2014,1166,compulsory
R2852,10042,1,2013-2014,1207,compulsory-elective
R2853,10042,1,2013-2014,1180,compulsory-elective
R2854,10042,1,2013-2014,1130,compulsory-elective
R2855,10042,1,2013-2014,1051,compulsory-elective
R2856,10042,1,2013-2014,1239,elective
R2857,10042,1,2013-2014,1221,elective
R2858,10042,1,2013-2014,1173,elective
R2859,10042,1,2013-2014,1136,elective
R2860,10042,1,2013-2014,1080,elective
R2861,10042,1,2013-2014,1036,elective
R2862,10042,1,2014-2015,1255,compulsory
R2863,10042,1,2014-2015,1192,compulsory
R2864,10042,1,2014-2015,1218,compulsory-elective
R2865,10042,1,2014-2015,1203,compulsory-elective
R2866,10042,1,2014-2015,1064,compulsory-elective
R2867,10042,1,2014-2015,1041,compulsory-elective
R2868,10042,1,2014-2015,1256,elective
R2869,10042,1,2014-2015,1126,elective
R2870,10042,1,2014-2015,1125,elective
R2871,10042,1,2014-2015,1103,elective
R2872,10042,1,2014-2015,1039,elective
R2873,10042,1,2015-2016,1124,compulsory
R2874,10042,1,2015-2016,1117,compulsory-elective
R2875,10042,1,2015-2016,1105,compulsory-elective
R2876,10042,1,2015-2016,1066,compulsory-elective
R2877,10042,1,2015-2016,1051,compulsory-elective
R2878,10042,1,2015-2016,1247,elective
R2879,10042,1,2015-2016,1222,elective
R2880,10042,1,2015-2016,1161,elective
R2881,10042,1,2015-2016,1047,elective
R2882,10042,1,2015-2016,1041,elective
R2883,10042,1,2016-2017,1107,compulsory
R2884,10042,1,2016-2017,1225,compulsory-elective
R2885,10042,1,2016-2017,1008,compulsory-elective
R2886,10042,1,2016-2017,1245,elective
R2887,10042,1,2016-2017,1136,elective
R2888,10042,1,2016-2017,1112,elective
R2889,10042,1,2016-2017,1052,elective
R2890,10042,1,2016-2017,1048,elective
R2891,10042,1,2016-2017,1033,elective
R2892,10042,1,2017-2018,1120,compulsory
R2893,10042,1,2017-2018,1008,compulsory
R2894,10042,1,2017-2018,1273,compulsory-elective
R2895,10042,1,2017-2018,1196,compulsory-elective
R2896,10042,1,2017-2018,1075,compulsory-elective
R2897,10042,1,2017-2018,1073,compulsory-elective
R2898,10042,1,2017-2018,1291,elective
R2899,10042,1,2017-2018,1265,elective
R2900,10042,1,2017-2018,1252,elective
R2901,10042,1,2017-2018,1218,elective
R2902,10042,1,2017-2018,1154,elective
R2903,10042,1,2018-2019,1005,compulsory
R2904,10042,1,2018-2019,1190,compulsory-elective
R2905,10042,1,2018-2019,1111,compulsory-elective
R2906,10042,1,2018-2019,1022,compulsory-elective
R2907,10042,1,2018-2019,1201,elective
R2908,10042,1,2018-2019,1164,elective
R2909,10042,1,2018-2019,1140,elective
R2910,10042,1,2018-2019,1129,elective
R2911,10042,1,2018-2019,1121,elective
R2912,10042,1,2019-2020,1185,compulsory
R2913,10042,1,2019-2020,1290,compulsory-elective
R2914,10042,1,2019-2020,1197,compulsory-elective
R2915,10042,1,2019-2020,1067,compulsory-elective
R2916,10042,1,2019-2020,1005,compulsory-elective
R2917,10042,1,2019-2020,1279,elective
R2918,10042,1,2019-2020,1276,elective
R2919,10042,1,2019-2020,1191,elective
R2920,10042,1,2019-2020,1136,elective
R2921,10042,1,2019-2020,1135,elective
R2922,10042,1,2019-2020,1055,elective
R2923,10042,1,2020-2021,1283,compulsory
R2924,10042,1,2020-2021,1290,compulsory-elective
R2925,10042,1,2020-2021,1249,compulsory-elective
R2926,10042,1,2020-2021,1297,elective
R2927,10042,1,2020-2021,1145,elective
R2928,10042,1,2020-2021,1092,elective
R2929,10042,1,2020-2021,1014,elective
R2930,10042,1,2021-2022,1082,compulsory
R2931,10042,1,2021-2022,1112,compulsory-elective
R2932,10042,1,2021-2022,1079,compulsory-elective
R2933,10042,1,2021-2022,1230,elective
R2934,10042,1,2021-2022,1218,elective
R2935,10042,1,2021-2022,1166,elective
R2936,10042,1,2021-2022,1104,elective
R2937,10042,1,2021-2022,1013,elective
R2938,10042,1,2022-2023,1244,compulsory
R2939,10042,1,2022-2023,1245,compulsory-elective
R2940,10042,1,2022-2023,1214,compulsory-elective
R2941,10042,1,2022-2023,1265,elective
R2942,10042,1,2022-2023,1183,elective
R2943,10042,1,2022-2023,1126,elective
R2944,10042,1,2022-2023,1066,elective
R2945,10042,1,2022-2023,1051,elective
R2946,10042,1,2022-2023,1018,elective
R2947,10042,1,2023-2024,1169,compulsory
R2948,10042,1,2023-2024,1159,compulsory
R2949,10042,1,2023-2024,1184,compulsory
R2950,10042,1,2023-2024,1133,compulsory
R2951,10042,1,2023-2024,1241,elective
R2952,10042,1,2023-2024,1215,elective
R2953,10042,1,2023-2024,1197,elective
R2954,10042,1,2023-2024,1011,elective
R2955,10042,2,2013-2014,1240,compulsory
R2956,10042,2,2013-2014,1176,compulsory
R2957,10042,2,2013-2014,1298,compulsory-elective
R2958,10042,2,2013-2014,1247,compulsory-elective
R2959,10042,2,2013-2014,1228,compulsory-elective
R2960,10042,2,2013-2014,1026,compulsory-elective
R2961,10042,2,2013-2014,1218,elective
R2962,10042,2,2013-2014,1128,elective
R2963,10042,2,2013-2014,1087,elective
R2964,10042,2,2013-2014,1074,elective
R2965,10042,2,2013-2014,1064,elective
R2966,10042,2,2013-2014,1029,elective
R2967,10042,2,2014-2015,1228,compulsory
R2968,10042,2,2014-2015,1286,compulsory-elective
R2969,10042,2,2014-2015,1168,compulsory-elective
R2970,10042,2,2014-2015,1156,compulsory-elective
R2971,10042,2,2014-2015,1078,compulsory-elective
R2972,10042,2,2014-2015,1257,compulsory-elective
R2973,10042,2,2014-2015,1010,compulsory-elective
R2974,10042,2,2014-2015,1009,compulsory-elective
R2975,10042,2,2014-2015,1007,compulsory-elective
R2976,10042,2,2015-2016,1279,compulsory
R2977,10042,2,2015-2016,1224,compulsory
R2978,10042,2,2015-2016,1116,compulsory-elective
R2979,10042,2,2015-2016,1086,compulsory-elective
R2980,10042,2,2015-2016,1023,compulsory-elective
R2981,10042,2,2015-2016,1234,elective
R2982,10042,2,2015-2016,1151,elective
R2983,10042,2,2015-2016,1128,elective
R2984,10042,2,2015-2016,1030,elective
R2985,10042,2,2015-2016,1009,elective
R2986,10042,2,2016-2017,1248,compulsory
R2987,10042,2,2016-2017,1208,compulsory
R2988,10042,2,2016-2017,1159,compulsory
R2989,10042,2,2016-2017,1080,compulsory
R2990,10042,2,2016-2017,1179,elective
R2991,10042,2,2016-2017,1148,elective
R2992,10042,2,2016-2017,1132,elective
R2993,10042,2,2016-2017,1085,elective
R2994,10042,2,2016-2017,1053,elective
R2995,10042,2,2016-2017,1036,elective
R2996,10042,2,2017-2018,1260,compulsory
R2997,10042,2,2017-2018,1060,compulsory
R2998,10042,2,2017-2018,1218,compulsory-elective
R2999,10042,2,2017-2018,1165,compulsory-elective
R3000,10042,2,2017-2018,1011,compulsory-elective
R3001,10042,2,2017-2018,1216,elective
R3002,10042,2,2017-2018,1120,elective
R3003,10042,2,2017-2018,1049,elective
R3004,10042,2,2017-2018,1036,elective
R3005,10042,2,2018-2019,1286,compulsory
R3006,10042,2,2018-2019,1274,compulsory
R3007,10042,2,2018-2019,1222,compulsory-elective
R3008,10042,2,2018-2019,1206,compulsory-elective
R3009,10042,2,2018-2019,1058,compulsory-elective
R3010,10042,2,2018-2019,1248,elective
R3011,10042,2,2018-2019,1219,elective
R3012,10042,2,2018-2019,1098,elective
R3013,10042,2,2018-2019,1049,elective
R3014,10042,2,2019-2020,1285,compulsory
R3015,10042,2,2019-2020,1252,compulsory-elective
R3016,10042,2,2019-2020,1104,compulsory-elective
R3017,10042,2,2019-2020,1282,elective
R3018,10042,2,2019-2020,1235,elective
R3019,10042,2,2019-2020,1215,elective
R3020,10042,2,2019-2020,1107,elective
R3021,10042,2,2019-2020,1084,elective
R3022,10042,2,2019-2020,1045,elective
R3023,10042,2,2020-2021,1297,compulsory
R3024,10042,2,2020-2021,1171,compulsory-elective
R3025,10042,2,2020-2021,1100,compulsory-elective
R3026,10042,2,2020-2021,1005,compulsory-elective
R3027,10042,2,2020-2021,1272,elective
R3028,10042,2,2020-2021,1263,elective
R3029,10042,2,2020-2021,1207,elective
R3030,10042,2,2020-2021,1175,elective
R3031,10042,2,2020-2021,1156,elective
R3032,10042,2,2021-2022,1204,compulsory
R3033,10042,2,2021-2022,1109,compulsory
R3034,10042,2,2021-2022,1223,compulsory-elective
R3035,10042,2,2021-2022,1179,compulsory-elective
R3036,10042,2,2021-2022,1152,compulsory-elective
R3037,10042,2,2021-2022,1157,elective
R3038,10042,2,2021-2022,1140,elective
R3039,10042,2,2021-2022,1064,elective
R3040,10042,2,2021-2022,1056,elective
R3041,10042,2,2021-2022,1014,elective
R3042,10042,2,2022-2023,1090,compulsory
R3043,10042,2,2022-2023,1213,compulsory-elective
R3044,10042,2,2022-2023,1155,compulsory-elective
R3045,10042,2,2022-2023,1112,compulsory-elective
R3046,10042,2,2022-2023,1037,compulsory-elective
R3047,10042,2,2022-2023,1227,compulsory-elective
R3048,10042,2,2022-2023,1118,compulsory-elective
R3049,10042,2,2022-2023,1038,compulsory-elective
R3050,10042,2,2022-2023,1033,compulsory-elective
R3051,10042,2,2023-2024,1122,compulsory
R3052,10042,2,2023-2024,1273,compulsory-elective
R3053,10042,2,2023-2024,1126,compulsory-elective
R3054,10042,2,2023-2024,1115,compulsory-elective
R3055,10042,2,2023-2024,1134,elective
R3056,10042,2,2023-2024,1082,elective
R3057,10042,2,2023-2024,1068,elective
R3058,10042,2,2023-2024,1052,elective
R3059,10051,1,2013-2014,1184,compulsory
R3060,10051,1,2013-2014,1119,compulsory
R3061,10051,1,2013-2014,1246,compulsory-elective
R3062,10051,1,2013-2014,1192,compulsory-elective
R3063,10051,1,2013-2014,1180,compulsory-elective
R3064,10051,1,2013-2014,1177,compulsory-elective
R3065,10051,1,2013-2014,1252,elective
R3066,10051,1,2013-2014,1220,elective
R3067,10051,1,2013-2014,1175,elective
R3068,10051,1,2013-2014,1080,elective
R3069,10051,1,2013-2014,1077,elective
R3070,10051,1,2014-2015,1284,compulsory
R3071,10051,1,2014-2015,1213,compulsory-elective
R3072,10051,1,2014-2015,1122,compulsory-elective
R3073,10051,1,2014-2015,1052,compulsory-elective
R3074,10051,1,2014-2015,1207,elective
R3075,10051,1,2014-2015,1197,elective
R3076,10051,1,2014-2015,1167,elective
R3077,10051,1,2014-2015,1154,elective
R3078,10051,1,2014-2015,1128,elective
R3079,10051,1,2015-2016,1145,compulsory
R3080,10051,1,2015-2016,1061,compulsory
R3081,10051,1,2015-2016,1147,compulsory
R3082,10051,1,2015-2016,1128,compulsory
R3083,10051,1,2015-2016,1207,elective
R3084,10051,1,2015-2016,1188,elective
R3085,10051,1,2015-2016,1120,elective
R3086,10051,1,2015-2016,1103,elective
R3087,10051,1,2016-2017,1229,compulsory
R3088,10051,1,2016-2017,1036,compulsory
R3089,10051,1,2016-2017,1203,compulsory
R3090,10051,1,2016-2017,1095,compulsory
R3091,10051,1,2016-2017,1265,elective
R3092,10051,1,2016-2017,1165,elective
R3093,10051,1,2016-2017,1125,elective
R3094,10051,1,2016-2017,1052,elective
R3095,10051,1,2016-2017,1022,elective
R3096,10051,1,2016-2017,1003,elective
R3097,10051,1,2017-2018,1011,compulsory
R3098,10051,1,2017-2018,1172,compulsory-elective
R3099,10051,1,2017-2018,1095,compulsory-elective
R3100,10051,1,2017-2018,1277,elective
R3101,10051,1,2017-2018,1188,elective
R3102,10051,1,2017-2018,1126,elective
R3103,10051,1,2017-2018,1066,elective
R3104,10051,1,2017-2018,1042,elective
R3105,10051,1,2017-2018,1006,elective
R3106,10051,1,2018-2019,1178,compulsory
R3107,10051,1,2018-2019,1144,compulsory
R3108,10051,1,2018-2019,1283,compulsory
R3109,10051,1,2018-2019,1191,compulsory
R3110,10051,1,2018-2019,1288,elective
R3111,10051,1,2018-2019,1242,elective
R3112,10051,1,2018-2019,1231,elective
R3113,10051,1,2018-2019,1183,elective
R3114,10051,1,2018-2019,1161,elective
R3115,10051,1,2018-2019,1114,elective
R3116,10051,1,2019-2020,1119,compulsory
R3117,10051,1,2019-2020,1299,compulsory-elective
R3118,10051,1,2019-2020,1067,compulsory-elective
R3119,10051,1,2019-2020,1279,elective
R3120,10051,1,2019-2020,1244,elective
R3121,10051,1,2019-2020,1149,elective
R3122,10051,1,2019-2020,1010,elective
R3123,10051,1,2020-2021,1221,compulsory
R3124,10051,1,2020-2021,1197,compulsory-elective
R3125,10051,1,2020-2021,1038,compulsory-elective
R3126,10051,1,2020-2021,1285,elective
R3127,10051,1,2020-2021,1243,elective
R3128,10051,1,2020-2021,1179,elective
R3129,10051,1,2020-2021,1029,elective
R3130,10051,1,2020-2021,1021,elective
R3131,10051,1,2021-2022,1246,compulsory
R3132,10051,1,2021-2022,1267,compulsory-elective
R3133,10051,1,2021-2022,1181,compulsory-elective
R3134,10051,1,2021-2022,1084,compulsory-elective
R3135,10051,1,2021-2022,1025,compulsory-elective
R3136,10051,1,2021-2022,1254,elective
R3137,10051,1,2021-2022,1222,elective
R3138,10051,1,2021-2022,1150,elective
R3139,10051,1,2021-2022,1056,elective
R3140,10051,1,2021-2022,1015,elective
R3141,10051,1,2022-2023,1123,compulsory
R3142,10051,1,2022-2023,1202,compulsory-elective
R3143,10051,1,2022-2023,1168,compulsory-elective
R3144,10051,1,2022-2023,1295,elective
R3145,10051,1,2022-2023,1207,elective
R3146,10051,1,2022-2023,1208,elective
R3147,10051,1,2022-2023,1102,elective
R3148,10051,1,2023-2024,1201,compulsory
R3149,10051,1,2023-2024,1015,compulsory
R3150,10051,1,2023-2024,1270,compulsory-elective
R3151,10051,1,2023-2024,1260,compulsory-elective
R3152,10051,1,2023-2024,1231,compulsory-elective
R3153,10051,1,2023-2024,1249,elective
R3154,10051,1,2023-2024,1212,elective
R3155,10051,1,2023-2024,1189,elective
R3156,10051,1,2023-2024,1154,elective
R3157,10051,1,2023-2024,1021,elective
R3158,10051,2,2013-2014,1050,compulsory
R3159,10051,2,2013-2014,1263,compulsory-elective
R3160,10051,2,2013-2014,1147,compulsory-elective
R3161,10051,2,2013-2014,1247,elective
R3162,10051,2,2013-2014,1233,elective
R3163,10051,2,2013-2014,1214,elective
R3164,10051,2,2013-2014,1127,elective
R3165,10051,2,2013-2014,1091,elective
R3166,10051,2,2014-2015,1205,compulsory
R3167,10051,2,2014-2015,1022,compulsory
R3168,10051,2,2014-2015,1037,compulsory
R3169,10051,2,2014-2015,1013,compulsory
R3170,10051,2,2014-2015,1243,elective
R3171,10051,2,2014-2015,1075,elective
R3172,10051,2,2014-2015,1069,elective
R3173,10051,2,2014-2015,1067,elective
R3174,10051,2,2015-2016,1162,compulsory
R3175,10051,2,2015-2016,1039,compulsory
R3176,10051,2,2015-2016,1163,compulsory-elective
R3177,10051,2,2015-2016,1065,compulsory-elective
R3178,10051,2,2015-2016,1035,compulsory-elective
R3179,10051,2,2015-2016,1005,compulsory-elective
R3180,10051,2,2015-2016,1137,elective
R3181,10051,2,2015-2016,1136,elective
R3182,10051,2,2015-2016,1119,elective
R3183,10051,2,2015-2016,1105,elective
R3184,10051,2,2015-2016,1104,elective
R3185,10051,2,2015-2016,1095,elective
R3186,10051,2,2016-2017,1187,compulsory
R3187,10051,2,2016-2017,1182,compulsory-elective
R3188,10051,2,2016-2017,1051,compulsory-elective
R3189,10051,2,2016-2017,1200,elective
R3190,10051,2,2016-2017,1176,elective
R3191,10051,2,2016-2017,1169,elective
R3192,10051,2,2016-2017,1097,elective
R3193,10051,2,2016-2017,1074,elective
R3194,10051,2,2016-2017,1030,elective
R3195,10051,2,2017-2018,1209,compulsory
R3196,10051,2,2017-2018,1253,compulsory-elective
R3197,10051,2,2017-2018,1129,compulsory-elective
R3198,10051,2,2017-2018,1120,compulsory-elective
R3199,10051,2,2017-2018,1064,compulsory-elective
R3200,10051,2,2017-2018,1256,elective
R3201,10051,2,2017-2018,1151,elective
R3202,10051,2,2017-2018,1113,elective
R3203,10051,2,2017-2018,1105,elective
R3204,10051,2,2017-2018,1102,elective
R3205,10051,2,2018-2019,1192,compulsory
R3206,10051,2,2018-2019,1115,compulsory
R3207,10051,2,2018-2019,1210,compulsory
R3208,10051,2,2018-2019,1188,compulsory
R3209,10051,2,2018-2019,1255,elective
R3210,10051,2,2018-2019,1221,elective
R3211,10051,2,2018-2019,1211,elective
R3212,10051,2,2018-2019,1122,elective
R3213,10051,2,2018-2019,1079,elective
R3214,10051,2,2018-2019,1044,elective
R3215,10051,2,2019-2020,1029,compulsory
R3216,10051,2,2019-2020,1091,compulsory-elective
R3217,10051,2,2019-2020,1059,compulsory-elective
R3218,10051,2,2019-2020,1264,elective
R3219,10051,2,2019-2020,1169,elective
R3220,10051,2,2019-2020,1119,elective
R3221,10051,2,2019-2020,1066,elective
R3222,10051,2,2020-2021,1186,compulsory
R3223,10051,2,2020-2021,1116,compulsory
R3224,10051,2,2020-2021,1282,compulsory-elective
R3225,10051,2,2020-2021,1196,compulsory-elective
R3226,10051,2,2020-2021,1167,compulsory-elective
R3227,10051,2,2020-2021,1242,elective
R3228,10051,2,2020-2021,1240,elective
R3229,10051,2,2020-2021,1139,elective
R3230,10051,2,2020-2021,1094,elective
R3231,10051,2,2020-2021,1043,elective
R3232,10051,2,2021-2022,1140,compulsory
R3233,10051,2,2021-2022,1215,compulsory-elective
R3234,10051,2,2021-2022,1118,compulsory-elective
R3235,10051,2,2021-2022,1276,elective
R3236,10051,2,2021-2022,1206,elective
R3237,10051,2,2021-2022,1187,elective
R3238,10051,2,2021-2022,1071,elective
R3239,10051,2,2021-2022,1009,elective
R3240,10051,2,2022-2023,1091,compulsory
R3241,10051,2,2022-2023,1076,compulsory
R3242,10051,2,2022-2023,1106,compulsory
R3243,10051,2,2022-2023,1039,compulsory
R3244,10051,2,2022-2023,1184,elective
R3245,10051,2,2022-2023,1069,elective
R3246,10051,2,2022-2023,1047,elective
R3247,10051,2,2022-2023,1007,elective
R3248,10051,2,2023-2024,1240,compulsory
R3249,10051,2,2023-2024,1197,compulsory
R3250,10051,2,2023-2024,1200,compulsory-elective
R3251,10051,2,2023-2024,1121,compulsory-elective
R3252,10051,2,2023-2024,1030,compulsory-elective
R3253,10051,2,2023-2024,1006,compulsory-elective
R3254,10051,2,2023-2024,1265,elective
R3255,10051,2,2023-2024,1212,elective
R3256,10051,2,2023-2024,1177,elective
R3257,10051,2,2023-2024,1158,elective
R3258,10051,2,2023-2024,1093,elective
R3259,10051,2,2023-2024,1078,elective
R3260,10051,3,2013-2014,1030,compulsory
R3261,10051,3,2013-2014,1152,compulsory-elective
R3262,10051,3,2013-2014,1011,compulsory-elective
R3263,10051,3,2013-2014,1296,elective
R3264,10051,3,2013-2014,1206,elective
R3265,10051,3,2013-2014,1188,elective
R3266,10051,3,2013-2014,1016,elective
R3267,10051,3,2014-2015,1201,compulsory
R3268,10051,3,2014-2015,1157,compulsory
R3269,10051,3,2014-2015,1295,compulsory
R3270,10051,3,2014-2015,1072,compulsory
R3271,10051,3,2014-2015,1096,elective
R3272,10051,3,2014-2015,1079,elective
R3273,10051,3,2014-2015,1068,elective
R3274,10051,3,2014-2015,1051,elective
R3275,10051,3,2014-2015,1030,elective
R3276,10051,3,2014-2015,1014,elective
R3277,10051,3,2015-2016,1144,compulsory
R3278,10051,3,2015-2016,1050,compulsory
R3279,10051,3,2015-2016,1277,compulsory-elective
R3280,10051,3,2015-2016,1225,compulsory-elective
R3281,10051,3,2015-2016,1040,compulsory-elective
R3282,10051,3,2015-2016,1020,compulsory-elective
R3283,10051,3,2015-2016,1186,elective
R3284,10051,3,2015-2016,1176,elective
R3285,10051,3,2015-2016,1177,elective
R3286,10051,3,2015-2016,1105,elective
R3287,10051,3,2015-2016,1018,elective
R3288,10051,3,2016-2017,1062,compulsory
R3289,10051,3,2016-2017,1238,compulsory-elective
R3290,10051,3,2016-2017,1120,compulsory-elective
R3291,10051,3,2016-2017,1150,elective
R3292,10051,3,2016-2017,1107,elective
R3293,10051,3,2016-2017,1080,elective
R3294,10051,3,2016-2017,1057,elective
R3295,10051,3,2017-2018,1276,compulsory
R3296,10051,3,2017-2018,1262,compulsory
R3297,10051,3,2017-2018,1026,compulsory
R3298,10051,3,2017-2018,1019,compulsory
R3299,10051,3,2017-2018,1299,elective
R3300,10051,3,2017-2018,1246,elective
R3301,10051,3,2017-2018,1225,elective
R3302,10051,3,2017-2018,1151,elective
R3303,10051,3,2017-2018,1014,elective
R3304,10051,3,2018-2019,1171,compulsory
R3305,10051,3,2018-2019,1143,compulsory-elective
R3306,10051,3,2018-2019,1139,compulsory-elective
R3307,10051,3,2018-2019,1292,elective
R3308,10051,3,2018-2019,1264,elective
R3309,10051,3,2018-2019,1198,elective
R3310,10051,3,2018-2019,1138,elective
R3311,10051,3,2018-2019,1062,elective
R3312,10051,3,2018-2019,1020,elective
R3313,10051,3,2019-2020,1061,compulsory
R3314,10051,3,2019-2020,1268,compulsory-elective
R3315,10051,3,2019-2020,1188,compulsory-elective
R3316,10051,3,2019-2020,1177,compulsory-elective
R3317,10051,3,2019-2020,1078,compulsory-elective
R3318,10051,3,2019-2020,1271,elective
R3319,10051,3,2019-2020,1191,elective
R3320,10051,3,2019-2020,1111,elective
R3321,10051,3,2019-2020,1072,elective
R3322,10051,3,2019-2020,1027,elective
R3323,10051,3,2020-2021,1118,compulsory
R3324,10051,3,2020-2021,1117,compulsory
R3325,10051,3,2020-2021,1279,compulsory-elective
R3326,10051,3,2020-2021,1223,compulsory-elective
R3327,10051,3,2020-2021,1029,compulsory-elective
R3328,10051,3,2020-2021,1220,elective
R3329,10051,3,2020-2021,1209,elective
R3330,10051,3,2020-2021,1192,elective
R3331,10051,3,2020-2021,1099,elective
R3332,10051,3,2020-2021,1035,elective
R3333,10051,3,2020-2021,1030,elective
R3334,10051,3,2021-2022,1279,compulsory
R3335,10051,3,2021-2022,1192,compulsory
R3336,10051,3,2021-2022,1157,compulsory-elective
R3337,10051,3,2021-2022,1043,compulsory-elective
R3338,10051,3,2021-2022,1024,compulsory-elective
R3339,10051,3,2021-2022,1237,elective
R3340,10051,3,2021-2022,1197,elective
R3341,10051,3,2021-2022,1173,elective
R3342,10051,3,2021-2022,1115,elective
R3343,10051,3,2022-2023,1297,compulsory
R3344,10051,3,2022-2023,1264,compulsory
R3345,10051,3,2022-2023,1224,compulsory-elective
R3346,10051,3,2022-2023,1115,compulsory-elective
R3347,10051,3,2022-2023,1104,compulsory-elective
R3348,10051,3,2022-2023,1031,compulsory-elective
R3349,10051,3,2022-2023,1205,elective
R3350,10051,3,2022-2023,1190,elective
R3351,10051,3,2022-2023,1077,elective
R3352,10051,3,2022-2023,1075,elective
R3353,10051,3,2022-2023,1060,elective
R3354,10051,3,2023-2024,1270,compulsory
R3355,10051,3,2023-2024,1153,compulsory
R3356,10051,3,2023-2024,1139,compulsory-elective
R3357,10051,3,2023-2024,1131,compulsory-elective
R3358,10051,3,2023-2024,1116,compulsory-elective
R3359,10051,3,2023-2024,1064,compulsory-elective
R3360,10051,3,2023-2024,1223,compulsory-elective
R3361,10051,3,2023-2024,1216,compulsory-elective
R3362,10051,3,2023-2024,1093,compulsory-elective
R3363,10051,3,2023-2024,1069,compulsory-elective
R3364,10052,1,2013-2014,1296,compulsory
R3365,10052,1,2013-2014,1175,compulsory-elective
R3366,10052,1,2013-2014,1162,compulsory-elective
R3367,10052,1,2013-2014,1191,elective
R3368,10052,1,2013-2014,1180,elective
R3369,10052,1,2013-2014,1106,elective
R3370,10052,1,2013-2014,1100,elective
R3371,10052,1,2014-2015,1273,compulsory
R3372,10052,1,2014-2015,1189,compulsory
R3373,10052,1,2014-2015,1247,compulsory-elective
R3374,10052,1,2014-2015,1132,compulsory-elective
R3375,10052,1,2014-2015,1116,compulsory-elective
R3376,10052,1,2014-2015,1099,compulsory-elective
R3377,10052,1,2014-2015,1274,compulsory-elective
R3378,10052,1,2014-2015,1237,compulsory-elective
R3379,10052,1,2014-2015,1179,compulsory-elective
R3380,10052,1,2014-2015,1042,compulsory-elective
R3381,10052,1,2015-2016,1081,compulsory
R3382,10052,1,2015-2016,1032,compulsory
R3383,10052,1,2015-2016,1278,compulsory-elective
R3384,10052,1,2015-2016,1196,compulsory-elective
R3385,10052,1,2015-2016,1142,compulsory-elective
R3386,10052,1,2015-2016,1226,elective
R3387,10052,1,2015-2016,1224,elective
R3388,10052,1,2015-2016,1146,elective
R3389,10052,1,2015-2016,1050,elective
R3390,10052,1,2015-2016,1016,elective
R3391,10052,1,2016-2017,1293,compulsory
R3392,10052,1,2016-2017,1022,compulsory
R3393,10052,1,2016-2017,1211,compulsory
R3394,10052,1,2016-2017,1172,compulsory
R3395,10052,1,2016-2017,1288,elective
R3396,10052,1,2016-2017,1240,elective
R3397,10052,1,2016-2017,1155,elective
R3398,10052,1,2016-2017,1052,elective
R3399,10052,1,2016-2017,1015,elective
R3400,10052,1,2017-2018,1283,compulsory
R3401,10052,1,2017-2018,1210,compulsory
R3402,10052,1,2017-2018,1268,compulsory-elective
R3403,10052,1,2017-2018,1247,compulsory-elective
R3404,10052,1,2017-2018,1233,compulsory-elective
R3405,10052,1,2017-2018,1128,compulsory-elective
R3406,10052,1,2017-2018,1289,elective
R3407,10052,1,2017-2018,1174,elective
R3408,10052,1,2017-2018,1151,elective
R3409,10052,1,2017-2018,1086,elective
R3410,10052,1,2017-2018,1056,elective
R3411,10052,1,2017-2018,1052,elective
R3412,10052,1,2018-2019,1216,compulsory
R3413,10052,1,2018-2019,1124,compulsory
R3414,10052,1,2018-2019,1299,compulsory-elective
R3415,10052,1,2018-2019,1213,compulsory-elective
R3416,10052,1,2018-2019,1187,compulsory-elective
R3417,10052,1,2018-2019,1019,compulsory-elective
R3418,10052,1,2018-2019,1279,compulsory-elective
R3419,10052,1,2018-2019,1218,compulsory-elective
R3420,10052,1,2018-2019,1135,compulsory-elective
R3421,10052,1,2018-2019,1097,compulsory-elective
R3422,10052,1,2019-2020,1175,compulsory
R3423,10052,1,2019-2020,1020,compulsory
R3424,10052,1,2019-2020,1276,compulsory-elective
R3425,10052,1,2019-2020,1258,compulsory-elective
R3426,10052,1,2019-2020,1107,compulsory-elective
R3427,10052,1,2019-2020,1292,elective
R3428,10052,1,2019-2020,1271,elective
R3429,10052,1,2019-2020,1201,elective
R3430,10052,1,2019-2020,1078,elective
R3431,10052,1,2020-2021,1242,compulsory
R3432,10052,1,2020-2021,1229,compulsory-elective
R3433,10052,1,2020-2021,1194,compulsory-elective
R3434,10052,1,2020-2021,1112,compulsory-elective
R3435,10052,1,2020-2021,1269,elective
R3436,10052,1,2020-2021,1177,elective
R3437,10052,1,2020-2021,1113,elective
R3438,10052,1,2020-2021,1099,elective
R3439,10052,1,2020-2021,1019,elective
R3440,10052,1,2021-2022,1243,compulsory
R3441,10052,1,2021-2022,1280,compulsory-elective
R3442,10052,1,2021-2022,1271,compulsory-elective
R3443,10052,1,2021-2022,1114,compulsory-elective
R3444,10052,1,2021-2022,1090,compulsory-elective
R3445,10052,1,2021-2022,1295,compulsory-elective
R3446,10052,1,2021-2022,1248,compulsory-elective
R3447,10052,1,2021-2022,1038,compulsory-elective
R3448,10052,1,2021-2022,1010,compulsory-elective
R3449,10052,1,2022-2023,1154,compulsory
R3450,10052,1,2022-2023,1067,compulsory
R3451,10052,1,2022-2023,1151,compulsory
R3452,10052,1,2022-2023,1116,compulsory
R3453,10052,1,2022-2023,1206,elective
R3454,10052,1,2022-2023,1134,elective
